REF_AREA,REF_AREA_LABEL,INDICATOR,INDICATOR_LABEL,Year,Value,Status
ZAF,South Africa,ITU_DH_ACT_MOB_PER_100,Active mobile-broadband subscriptions per 100 inhabitants (ITU),2000,29.2596,Normal
ZAF,South Africa,ITU_DH_ACT_MOB_PER_100,Active mobile-broadband subscriptions per 100 inhabitants (ITU),2001,29.2596,Normal
ZAF,South Africa,ITU_DH_ACT_MOB_PER_100,Active mobile-broadband subscriptions per 100 inhabitants (ITU),2002,29.2596,Normal
ZAF,South Africa,ITU_DH_ACT_MOB_PER_100,Active mobile-broadband subscriptions per 100 inhabitants (ITU),2003,29.2596,Normal
ZAF,South Africa,ITU_DH_ACT_MOB_PER_100,Active mobile-broadband subscriptions per 100 inhabitants (ITU),2004,29.2596,Normal
ZAF,South Africa,ITU_DH_ACT_MOB_PER_100,Active mobile-broadband subscriptions per 100 inhabitants (ITU),2005,29.2596,Normal
ZAF,South Africa,ITU_DH_ACT_MOB_PER_100,Active mobile-broadband subscriptions per 100 inhabitants (ITU),2006,29.2596,Normal
ZAF,South Africa,ITU_DH_ACT_MOB_PER_100,Active mobile-broadband subscriptions per 100 inhabitants (ITU),2007,29.2596,Normal
ZAF,South Africa,ITU_DH_ACT_MOB_PER_100,Active mobile-broadband subscriptions per 100 inhabitants (ITU),2008,29.2596,Normal
ZAF,South Africa,ITU_DH_ACT_MOB_PER_100,Active mobile-broadband subscriptions per 100 inhabitants (ITU),2009,29.2596,Normal
ZAF,South Africa,ITU_DH_ACT_MOB_PER_100,Active mobile-broadband subscriptions per 100 inhabitants (ITU),2010,29.2596,Normal
ZAF,South Africa,ITU_DH_ACT_MOB_PER_100,Active mobile-broadband subscriptions per 100 inhabitants (ITU),2011,29.2596,Normal
ZAF,South Africa,ITU_DH_ACT_MOB_PER_100,Active mobile-broadband subscriptions per 100 inhabitants (ITU),2012,29.2596,Normal
ZAF,South Africa,ITU_DH_ACT_MOB_PER_100,Active mobile-broadband subscriptions per 100 inhabitants (ITU),2013,29.2596,Normal
ZAF,South Africa,ITU_DH_ACT_MOB_PER_100,Active mobile-broadband subscriptions per 100 inhabitants (ITU),2014,29.2596,Normal
ZAF,South Africa,ITU_DH_ACT_MOB_PER_100,Active mobile-broadband subscriptions per 100 inhabitants (ITU),2015,49.532,Normal
ZAF,South Africa,ITU_DH_ACT_MOB_PER_100,Active mobile-broadband subscriptions per 100 inhabitants (ITU),2016,54.1564,Normal
ZAF,South Africa,ITU_DH_ACT_MOB_PER_100,Active mobile-broadband subscriptions per 100 inhabitants (ITU),2017,60.5407,High
ZAF,South Africa,ITU_DH_ACT_MOB_PER_100,Active mobile-broadband subscriptions per 100 inhabitants (ITU),2018,64.6106,High
ZAF,South Africa,ITU_DH_ACT_MOB_PER_100,Active mobile-broadband subscriptions per 100 inhabitants (ITU),2019,60.0794,Normal
ZAF,South Africa,ITU_DH_ACT_MOB_PER_100,Active mobile-broadband subscriptions per 100 inhabitants (ITU),2020,66.7815,High
ZAF,South Africa,ITU_DH_ACT_MOB_PER_100,Active mobile-broadband subscriptions per 100 inhabitants (ITU),2021,57.867,Normal
ZAF,South Africa,ITU_DH_ACT_MOB_PER_100,Active mobile-broadband subscriptions per 100 inhabitants (ITU),2022,76.1471,High
ZAF,South Africa,ITU_DH_ACT_MOB_PER_100,Active mobile-broadband subscriptions per 100 inhabitants (ITU),2023,76.1658,High
ZAF,South Africa,ITU_DH_ACT_MOB_PER_100,Active mobile-broadband subscriptions per 100 inhabitants (ITU),2024,72.2792,High
ZAF,South Africa,ITU_DH_FIX_BR_SUB_PER_100,Fixed-broadband subscriptions per 100 inhabitants (ITU),2000,0.00555817,Low
ZAF,South Africa,ITU_DH_FIX_BR_SUB_PER_100,Fixed-broadband subscriptions per 100 inhabitants (ITU),2001,0.00555817,Low
ZAF,South Africa,ITU_DH_FIX_BR_SUB_PER_100,Fixed-broadband subscriptions per 100 inhabitants (ITU),2002,0.00555817,Low
ZAF,South Africa,ITU_DH_FIX_BR_SUB_PER_100,Fixed-broadband subscriptions per 100 inhabitants (ITU),2003,0.0418822,Low
ZAF,South Africa,ITU_DH_FIX_BR_SUB_PER_100,Fixed-broadband subscriptions per 100 inhabitants (ITU),2004,0.12247,Low
ZAF,South Africa,ITU_DH_FIX_BR_SUB_PER_100,Fixed-broadband subscriptions per 100 inhabitants (ITU),2005,0.333986,Low
ZAF,South Africa,ITU_DH_FIX_BR_SUB_PER_100,Fixed-broadband subscriptions per 100 inhabitants (ITU),2006,0.670247,Normal
ZAF,South Africa,ITU_DH_FIX_BR_SUB_PER_100,Fixed-broadband subscriptions per 100 inhabitants (ITU),2007,0.748091,Normal
ZAF,South Africa,ITU_DH_FIX_BR_SUB_PER_100,Fixed-broadband subscriptions per 100 inhabitants (ITU),2008,0.833421,Normal
ZAF,South Africa,ITU_DH_FIX_BR_SUB_PER_100,Fixed-broadband subscriptions per 100 inhabitants (ITU),2009,0.929855,Normal
ZAF,South Africa,ITU_DH_FIX_BR_SUB_PER_100,Fixed-broadband subscriptions per 100 inhabitants (ITU),2010,1.41945,Normal
ZAF,South Africa,ITU_DH_FIX_BR_SUB_PER_100,Fixed-broadband subscriptions per 100 inhabitants (ITU),2011,1.71148,Normal
ZAF,South Africa,ITU_DH_FIX_BR_SUB_PER_100,Fixed-broadband subscriptions per 100 inhabitants (ITU),2012,2.05866,Normal
ZAF,South Africa,ITU_DH_FIX_BR_SUB_PER_100,Fixed-broadband subscriptions per 100 inhabitants (ITU),2013,2.954,High
ZAF,South Africa,ITU_DH_FIX_BR_SUB_PER_100,Fixed-broadband subscriptions per 100 inhabitants (ITU),2014,3.06919,High
ZAF,South Africa,ITU_DH_FIX_BR_SUB_PER_100,Fixed-broadband subscriptions per 100 inhabitants (ITU),2015,2.48459,Normal
ZAF,South Africa,ITU_DH_FIX_BR_SUB_PER_100,Fixed-broadband subscriptions per 100 inhabitants (ITU),2016,2.00974,Normal
ZAF,South Africa,ITU_DH_FIX_BR_SUB_PER_100,Fixed-broadband subscriptions per 100 inhabitants (ITU),2017,1.94879,Normal
ZAF,South Africa,ITU_DH_FIX_BR_SUB_PER_100,Fixed-broadband subscriptions per 100 inhabitants (ITU),2018,1.88868,Normal
